Feature,Importance
intent_engagement_score,0.08957205955954438
days_since_last_brand_engagement,0.06513204533114202
shopper_intent_decile,0.05803638273689361
activity_month_num,0.05485493179190849
high_intent_flag,0.030657399527131868
ad_frequency_saturation_risk_band_High Fatigue Risk,0.021582677415312106
auto_loan_rate_environment_band_Adverse – Rising APR,0.014604806783349083
personalization_depth_band_Generic,0.014361824655319048
auto_loan_rate_environment_band_Flat,0.013955156065529651
personalization_depth_band_1:1 Next-Best-Offer,0.013728351520240826
ad_frequency_saturation_risk_band_Typical,0.013702728820572547
incentive_program_pressure_band_Light Incentives,0.013493977024755138
ad_frequency_saturation_risk_band_Low Exposure,0.013358122994600919
nameplate_lifecycle_stage_Steady State,0.013324928539901488
secondary_channel_syndicated_flag_No,0.01289772010891071
incentive_program_pressure_band_Moderate APR / Cash,0.012774816204981786
market_region_tier_US – Rural / Exurban,0.012627742829240386
ev_adoption_maturity_region_band_Early Market,0.012622783294907333
powertrain_focus_BEV,0.012538281934748846
powertrain_focus_ICE,0.012533868136765797
credit_availability_consumer_stress_band_Benign,0.012446261192116618
secondary_channel_syndicated_flag_Yes,0.012290699664690177
multicultural_locale_creative_match_flag_No,0.01197752641672806
multicultural_locale_creative_match_flag_Yes,0.011833406878440167
certified_preowned_vs_new_intent_context_New Vehicle Focus,0.011810580256628102
ev_adoption_maturity_region_band_Growing,0.01169633298698856
model_year_position_Prior Year Closeout,0.01169616966642267
vehicle_segment_Compact SUV / Crossover,0.01164031503720881
primary_channel_Paid Social,0.011468085626194804
market_region_tier_US – Major Metro,0.011467027240046388
days_supply_inventory_proxy_band_Tight – Under 30,0.011423831351340603
ev_adoption_maturity_region_band_Mature EV Penetration,0.011398222313576926
competitive_conquest_intensity_band_Moderate,0.01135763992137942
credit_availability_consumer_stress_band_Tightening,0.01128892878708727
competitive_conquest_intensity_band_Low,0.011282146173478903
certified_preowned_vs_new_intent_context_CPO / Used Consideration,0.011243899535377386
dealer_cosponsored_local_campaign_flag_Yes,0.011121853625706368
market_region_tier_US – Suburban / Secondary,0.01110335520318682
personalization_depth_band_Segmented,0.010992118839487777
model_year_position_Current Model Year,0.010819704121757992
days_supply_inventory_proxy_band_Balanced,0.010677601770964874
primary_channel_Programmatic Video / CTV,0.010650242327316723
days_supply_inventory_proxy_band_High – Over 60,0.010574948871619094
competitive_conquest_intensity_band_High – New Entrants,0.010393705727454247
nameplate_lifecycle_stage_Mid-Cycle Refresh,0.010376245081746859
vehicle_segment_Midsize / 3-Row SUV,0.010220929381647202
certified_preowned_vs_new_intent_context_Mixed / Undecided,0.010120857507778495
vehicle_segment_EV Crossover,0.010091601057200365
primary_channel_OEM Website / App,0.009948085829739215
dealer_cosponsored_local_campaign_flag_No,0.00993003079090769
powertrain_focus_Hybrid,0.009850079313549679
auto_loan_rate_environment_band_Favourable vs Prior Quarter,0.0096426412089196
vehicle_segment_Full-Size Pickup,0.009478172335290653
incentive_program_pressure_band_Heavy Stair-Step Risk,0.009365608495255745
primary_channel_Paid Search,0.009295057570826989
market_region_tier_Canada,0.008741779547136393
major_auto_show_or_event_window_flag_No,0.008527510206540299
credit_availability_consumer_stress_band_Constrained,0.008379576406545299
nameplate_lifecycle_stage_New Launch / Fresh Reveal,0.008270454062802428
nameplate_lifecycle_stage_Runout / End of Generation,0.008264023691843396
vehicle_segment_Midsize Sedan,0.00803547444796941
primary_channel_Email – CRM,0.008012727073069464
major_auto_show_or_event_window_flag_Yes,0.007984889264539993
primary_channel_Dealer Co-op – Local Digital,0.0075594869689445555
recent_engagement_flag,0.00730472662594236
model_year_position_Next MY Pre-Order,0.007006706378287195
primary_channel_Auto Show / Experiential,0.0064522788392780955
powertrain_focus_PHEV,0.006250280125178362
vehicle_segment_Performance / Specialty,0.00606433331601981
market_region_tier_Other Market,0.005811235662085651
