campaign_touch_id,milestone_score,predicted_milestone,campaign_priority
AMK-00020451,0.42116507037003864,0,Medium Priority
AMK-00027175,0.49189597679975,0,Medium Priority
AMK-00005932,0.4018404602471346,0,Medium Priority
AMK-00056953,0.32495234903083114,0,Medium Priority
AMK-00032383,0.8263211809882918,1,High Priority
AMK-00046154,0.36913816146162,0,Medium Priority
AMK-00051627,0.41543322978369585,0,Medium Priority
AMK-00013857,0.34366521068271927,0,Medium Priority
AMK-00000281,0.22900563171174132,0,Low Priority
AMK-00020872,0.6235744748611854,1,Medium Priority
AMK-00048906,0.2291623301941075,0,Low Priority
AMK-00041532,0.2119241117829974,0,Low Priority
AMK-00034638,0.6800202039757733,1,Medium Priority
AMK-00003625,0.5544388916561227,1,Medium Priority
AMK-00053849,0.4973413706407708,0,Medium Priority
AMK-00022861,0.40471404843129344,0,Medium Priority
AMK-00021037,0.6851307429954782,1,Medium Priority
AMK-00047725,0.356094971285765,0,Medium Priority
AMK-00018112,0.6191124480740021,1,Medium Priority
AMK-00062557,0.6318728364726052,1,Medium Priority
AMK-00005538,0.43548614278285236,0,Medium Priority
AMK-00008007,0.6232297452444071,1,Medium Priority
AMK-00014501,0.36415399559781403,0,Medium Priority
AMK-00007823,0.5438617180322752,1,Medium Priority
AMK-00012401,0.6577732950034977,1,Medium Priority
AMK-00027623,0.28760571654455747,0,Low Priority
AMK-00032888,0.44479943209569256,0,Medium Priority
AMK-00001825,0.5581374176553109,1,Medium Priority
AMK-00054057,0.533816229394226,1,Medium Priority
AMK-00006468,0.3761354155093565,0,Medium Priority
AMK-00036033,0.5818461231733043,1,Medium Priority
AMK-00033621,0.2736529678440639,0,Low Priority
AMK-00012463,0.37234527968091363,0,Medium Priority
AMK-00015551,0.3928099496720816,0,Medium Priority
AMK-00001423,0.3388975055792665,0,Medium Priority
AMK-00015075,0.6086994351103221,1,Medium Priority
AMK-00029822,0.2816215646141316,0,Low Priority
AMK-00060566,0.5691417690147662,1,Medium Priority
AMK-00046351,0.5220197271061129,1,Medium Priority
AMK-00012083,0.25999982005409195,0,Low Priority
